timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
166897347942600,1190.67,552.224,3.49324,134.187,72.356,-498.598,9.01093,3.01764,0.156406,0.0526434,0.0526434,53.3411,53.3411,1,1138,775.576,3.77314,201.489,77.6823,-500.236,0.318191,6.95,0.00551265,0.121003,0.121003,53.3411,53.3411,1,1164.33,663.9,1,0
166897352915400,1190.9,552.081,3.49979,134.216,72.3508,-498.581,9.01093,3.01764,0.156406,0.0526434,0.0526434,53.3434,53.3434,1,1138.14,775.776,3.74168,201.526,77.6615,-500.294,0.318191,6.95,0.00551265,0.121003,0.121003,53.3434,53.3434,1,1164.52,663.928,1,0
166897357901800,1190.9,552.081,3.49979,134.216,72.3508,-498.581,9.01093,3.01764,0.156406,0.0526434,0.0526434,53.3434,53.3434,1,1138.14,775.776,3.74168,201.526,77.6615,-500.294,0.318191,6.95,0.00551265,0.121003,0.121003,53.3434,53.3434,1,1164.52,663.928,1,0
166897362912600,1190.98,551.512,3.52405,134.235,72.3629,-498.562,9.01093,3.00708,0.156407,0.0524594,0.0524594,53.3354,53.3354,1,1129.62,775.912,3.83596,201.532,77.7136,-500.159,0.143945,6.95,0.00249384,0.121003,0.121003,53.3354,53.3354,1,1160.3,663.712,1,0
166897367940900,1190.72,551.525,3.51675,134.254,72.3381,-498.606,9.00406,3.00708,0.156289,0.0524594,0.0524594,53.3395,53.3395,1,1129.15,775.909,3.79461,201.552,77.703,-500.193,0.132799,6.95,0.00230074,0.121003,0.121003,53.3395,53.3395,1,1159.93,663.717,1,0
166897372884000,1190.72,551.525,3.51675,134.254,72.3381,-498.606,9.00406,3.00708,0.156289,0.0524594,0.0524594,53.3395,53.3395,1,1129.15,775.909,3.79461,201.552,77.703,-500.193,0.132799,6.95,0.00230074,0.121003,0.121003,53.3395,53.3395,1,1159.93,663.717,1,0
166897377912800,1186.89,551.479,3.5115,134.279,72.3895,-498.469,8.92733,3.00708,0.154968,0.0524594,0.0524594,53.3281,53.3281,1,1129.2,775.954,3.8393,201.556,77.7361,-500.11,0.132799,6.95,0.00230074,0.121003,0.121003,53.3281,53.3281,1,1158.04,663.716,1,0
166897382900700,1186.95,551.455,3.48677,134.298,72.3915,-498.44,8.92733,3.00708,0.154968,0.0524594,0.0524594,53.3287,53.3287,1,1129.23,776.065,3.78963,201.564,77.718,-500.149,0.132799,6.95,0.00230074,0.121003,0.121003,53.3287,53.3287,1,1158.09,663.76,1,0
166897387904100,1186.95,551.455,3.48677,134.298,72.3915,-498.44,8.92733,3.00708,0.154968,0.0524594,0.0524594,53.3287,53.3287,1,1129.23,776.065,3.78963,201.564,77.718,-500.149,0.132799,6.95,0.00230074,0.121003,0.121003,53.3287,53.3287,1,1158.09,663.76,1,0
166897392875200,1186.97,551.454,3.48501,134.29,72.3575,-498.502,8.92733,3.00708,0.154968,0.0524594,0.0524594,53.3338,53.3338,1,1129.26,775.995,3.79583,201.581,77.7002,-500.181,0.132799,6.95,0.00230074,0.121003,0.121003,53.3338,53.3338,1,1158.12,663.724,1,0
166897397857900,1187,551.48,3.48768,134.302,72.341,-498.523,8.92733,3.00708,0.154968,0.0524594,0.0524594,53.3339,53.3339,1,1129.31,775.979,3.77967,201.583,77.7108,-500.159,0.132799,6.95,0.00230074,0.121003,0.121003,53.3339,53.3339,1,1158.16,663.729,1,0
