timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger,real_system_time
10125860432700,687.177,476.748,4.74556,84.2556,103.537,-543.212,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8441,55.8441,1,996.542,505.609,4.73293,149.627,101.815,-545.413,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8441,55.8441,1,841.86,491.179,1,0,2025-03-27 13:35:20.860432700
10125865208200,687.92,476.743,4.74604,84.412,103.571,-543.007,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8255,55.8255,1,994.399,505.987,4.75196,149.755,101.84,-545.24,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.8255,55.8255,1,841.16,491.365,1,0,2025-03-27 13:35:20.865208200
10125870169000,687.92,476.743,4.74604,84.412,103.571,-543.007,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8255,55.8255,1,994.399,505.987,4.75196,149.755,101.84,-545.24,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.8255,55.8255,1,841.16,491.365,1,0,2025-03-27 13:35:20.870169000
10125875413900,684.398,478.481,4.68112,84.5046,103.577,-542.912,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.813,55.813,1,994.89,506.403,4.72901,149.871,101.893,-545.084,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.813,55.813,1,839.644,492.442,1,0,2025-03-27 13:35:20.875413900
10125880064700,684.398,478.481,4.68112,84.5046,103.577,-542.912,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.813,55.813,1,994.89,506.403,4.72901,149.871,101.893,-545.084,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.813,55.813,1,839.644,492.442,1,0,2025-03-27 13:35:20.880064700
10125884923700,684.755,478.693,4.74037,84.5913,103.62,-542.795,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7998,55.7998,1,994.433,506.519,4.71611,149.955,101.948,-544.946,2.97011,-1.16786,0.0518043,-0.0203816,-0.0203816,55.7998,55.7998,1,839.594,492.606,1,0,2025-03-27 13:35:20.884923700
10125889611200,684.755,478.693,4.74037,84.5913,103.62,-542.795,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7998,55.7998,1,994.433,506.519,4.71611,149.955,101.948,-544.946,2.97011,-1.16786,0.0518043,-0.0203816,-0.0203816,55.7998,55.7998,1,839.594,492.606,1,0,2025-03-27 13:35:20.889611200
10125894672900,685.184,478.893,4.67995,84.6889,103.698,-542.571,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7855,55.7855,1,994.801,506.663,4.7212,150.044,101.989,-544.898,2.97011,-1.16786,0.0518043,-0.0203816,-0.0203816,55.7855,55.7855,1,839.993,492.778,1,0,2025-03-27 13:35:20.894672900
10125899390100,685.184,478.893,4.67995,84.6889,103.698,-542.571,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7855,55.7855,1,994.801,506.663,4.7212,150.044,101.989,-544.898,2.97011,-1.16786,0.0518043,-0.0203816,-0.0203816,55.7855,55.7855,1,839.993,492.778,1,0,2025-03-27 13:35:20.899390100
10125904086300,685.184,478.893,4.67995,84.6889,103.698,-542.571,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7855,55.7855,1,994.801,506.663,4.7212,150.044,101.989,-544.898,2.97011,-1.16786,0.0518043,-0.0203816,-0.0203816,55.7855,55.7855,1,839.993,492.778,1,0,2025-03-27 13:35:20.904086300
10125909088300,685.741,479.404,4.73212,84.7616,103.732,-542.535,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7806,55.7806,1,993.844,507.419,4.74774,150.117,102.031,-544.851,2.94322,-1.16786,0.0513356,-0.0203816,-0.0203816,55.7806,55.7806,1,839.792,493.412,1,0,2025-03-27 13:35:20.909088300
10125914088300,685.741,479.404,4.73212,84.7616,103.732,-542.535,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7806,55.7806,1,993.844,507.419,4.74774,150.117,102.031,-544.851,2.94322,-1.16786,0.0513356,-0.0203816,-0.0203816,55.7806,55.7806,1,839.792,493.412,1,0,2025-03-27 13:35:20.914088300
10125918742100,686.282,479.99,4.76682,84.8875,103.828,-542.318,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7497,55.7497,1,994.491,507.763,4.72636,150.253,102.164,-544.473,2.94322,-1.16786,0.0513356,-0.0203816,-0.0203816,55.7497,55.7497,1,840.386,493.876,1,0,2025-03-27 13:35:20.918742100
10125923637400,686.282,479.99,4.76682,84.8875,103.828,-542.318,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7497,55.7497,1,994.491,507.763,4.72636,150.253,102.164,-544.473,2.94322,-1.16786,0.0513356,-0.0203816,-0.0203816,55.7497,55.7497,1,840.386,493.876,1,0,2025-03-27 13:35:20.923637400
10125928698800,686.749,480.417,4.72745,84.9853,103.901,-542.134,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7453,55.7453,1,988.944,508.161,4.7569,150.337,102.153,-544.58,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.7453,55.7453,1,837.846,494.289,1,0,2025-03-27 13:35:20.928698800
10125933372100,686.749,480.417,4.72745,84.9853,103.901,-542.134,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7453,55.7453,1,988.944,508.161,4.7569,150.337,102.153,-544.58,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.7453,55.7453,1,837.846,494.289,1,0,2025-03-27 13:35:20.933372100
10125938115600,687.168,480.725,4.74308,85.0942,104.017,-541.786,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7128,55.7128,1,989.314,508.437,4.72441,150.434,102.216,-544.284,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.7128,55.7128,1,838.241,494.581,1,0,2025-03-27 13:35:20.938115600
10125943184300,687.168,480.725,4.74308,85.0942,104.017,-541.786,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.7128,55.7128,1,989.314,508.437,4.72441,150.434,102.216,-544.284,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.7128,55.7128,1,838.241,494.581,1,0,2025-03-27 13:35:20.943184300
10125947948000,687.538,480.935,4.69698,85.1614,104.047,-541.638,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.6948,55.6948,1,989.754,508.787,4.73183,150.504,102.261,-544.07,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.6948,55.6948,1,838.646,494.861,1,0,2025-03-27 13:35:20.947948000
10125952886700,687.538,480.935,4.69698,85.1614,104.047,-541.638,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.6948,55.6948,1,989.754,508.787,4.73183,150.504,102.261,-544.07,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.6948,55.6948,1,838.646,494.861,1,0,2025-03-27 13:35:20.952886700
10125957772400,687.829,480.944,4.69145,85.2197,104.012,-541.656,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.6927,55.6927,1,990.104,508.651,4.71587,150.594,102.248,-543.994,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.6927,55.6927,1,838.966,494.797,1,0,2025-03-27 13:35:20.957772400
